Timestep,DHW Node 1,DHW Node 2,DHW Node 3,DHW Node 4,DHW Node 5,DHW Discharge Vol [L],DHW Discharge Energy [kWh],DHW Charge Energy [kWh],,SH Node 1,SH Node 2,SH Node 3,SH Node 4,SH Node 5,SH Discharge Vol [L],SH Discharge Energy [kWh],SH Charge Energy [kWh]
9013.0,52.853450045551085,52.85314428159967,52.63534162697379,47.55398753781825,23.72796695061686,7.94,0.32274997222222224,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9014.0,52.7842101624856,52.7778340981955,52.545761285193606,47.279156246209425,23.753071362159584,2.69,0.1093447638888889,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9015.0,52.70635629573327,52.705993562764114,52.373847104515534,46.692358062449145,23.383487343430502,8.31,0.33778995833333336,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9016.0,52.62701435133618,52.62467106615946,52.10114303214273,45.79267252100738,22.66491916200648,14.07,0.5719259583333334,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9017.0,52.55661774559046,52.55222371418323,52.03372651984472,45.630346663884296,22.873639779405483,0.93,0.03780320833333334,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9018.0,52.47880304920281,52.4782522197192,51.87889107298184,45.19502081629261,22.735392595276657,6.0,0.24389166666666667,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9019.0,52.411564929671506,52.40510297682487,51.82752145351428,45.087587710863616,23.00187394282847,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9020.0,52.30672599316111,52.128570477019466,50.42282945476199,41.42496368262225,19.31743045994574,66.85,2.7173596527777777,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9021.0,52.2180365663546,52.06447165777105,50.32334201005474,41.22840100272469,19.65179127497389,2.15,0.08739451388888889,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9022.0,52.1206421109208,51.925932113631774,49.92660394308078,40.41587898885115,19.370615474018738,14.27,0.5800556805555555,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9023.0,52.03280501030688,51.862993632738146,49.83589938352413,40.25200761424671,19.72228240050705,1.73,0.07032209722222223,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9024.0,51.94668659077112,51.81165821274214,49.78892476319377,40.17545805726734,20.14127990041316,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9025.0,51.86087676534997,51.7604332284017,49.7420511973204,40.099386775755804,20.53906878782225,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9026.0,51.775374428236674,51.70931844214145,49.69527846850996,40.0237907814855,20.91672259000868,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9027.0,51.69017847758702,51.65831361689705,49.64860635983606,39.948667104900025,21.275260494963252,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9028.0,51.6074185161141,51.605287815505136,49.60203465483901,39.874012794996496,21.615650101912745,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9029.0,51.540978784734385,51.536341983090935,49.55556313752471,39.79982491920973,21.938810032614928,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9030.0,51.47222078479623,51.47010228653327,49.509191592363784,39.726100563296875,22.245612410476422,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9031.0,51.40616154825742,51.40155130119308,49.46291980429048,39.65283683122311,22.536885214183666,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9032.0,51.33779731969224,51.33569095389342,49.4167475587017,39.58003084504775,22.813414512199024,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9033.0,51.27211639893186,51.267532554370774,49.37067464145607,39.50767974481134,23.075946584152167,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9034.0,51.20249556135257,51.20094540359699,49.3132390774746,39.418603364266794,23.295229491073133,0.44,0.017885388888888888,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9035.0,51.13564637508538,51.131245644216044,49.25275399000621,39.32580343043692,23.494630195188705,0.56,0.022763222222222223,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9036.0,51.06822806952998,51.065990239982405,49.20703386499004,39.2550407226153,23.722680821666245,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9037.0,51.00315044375986,50.998774915511866,49.161412095689656,39.18472013449396,23.939188091995472,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9038.0,50.92034852916451,50.89949235854047,48.90579475321627,38.824622795324984,23.577714608375643,7.95,0.32315645833333334,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9039.0,50.832831550709614,50.70799748639789,48.32293459332078,38.01808799106494,22.44265839997706,20.05,0.8150046527777779,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9040.0,50.72624331527864,50.414343674509944,47.49413450869,36.88061644695956,20.978264019853434,28.54,1.160111361111111,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9041.0,50.64286031975202,50.35202763963538,47.411280843717385,36.77008881156251,21.249949908288265,1.46,0.059346972222222225,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9042.0,50.56172258557286,50.303942695042785,47.36952219976395,36.71529400288037,21.591620674254173,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
